Air Conditioner,Split AC where x = Tonnage & y= Star Rating,,,,,,,,,,,,,
Type,x2y,xy,y,x,Constant,,,,,,,,,
Split AC,41.1,-177.1,92.07,1341.4,20.89,,,,,,,,,
Window AC,-29.045,-7.2987,16.588,1425.5,-15.243,,,,,,,,,
,,,,,,,,,,,,,,
Refrigerator, where x=Star Rating & y= Storage Volume,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Type,x2y,xy,y,x,Constant,,,,,,,,,
Frost Free,-0.0681,0.5341,-0.4721,-88.02,688.75,,,,,,,,,
Direct Cool,-0.0968,0.6628,-0.8069,-52.84,492.35,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ceiling Fan,,,,,,,,,,,,,,
Intent,m,c,,,,,,,,,,,,
Power Conumption,-4.9767,74.478,,,,,,,,,,,,
Price Calculation,271,1326,,,,,,,,,,,,
"Normal Fan, Price (Rs/Watt)",18.72,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Water Heater,,,,,,,,,,,,,,
"x= Star Rating, Y=Volume of Water Tank",,,,,,,,,,,,,,
Energy Consumption,x2y,xy,y,x,Constant,,,,,,,,,
Water Heater,0.4857,-7.0992,32.479,-57.775,761.51,,,,,,,,,
,,,,,,,,,,,,,,
Television,,,,,,,,,,,,,,
Type,m,c,,,,,,,,,,,,
CRT 5 Star,0.0006,0.0196,,,,,,,,,,,,
CRT 4 Star,0.0018,0.0199,,,,,,,,,,,,
CRT 3 Star,0.0024,0.0498,,,,,,,,,,,,
CRT 2 Star,0.0003,0.1507,,,,,,,,,,,,
CRT 1 Star,0.0031,0.115,,,,,,,,,,,,
LCD 5 Star,0.0016,0.0152,,,,,,,,,,,,
LCD 4 Star,0.002,0.0736,,,,,,,,,,,,
LCD 3 Star,0.0028,0.1364,,,,,,,,,,,,
LCD 2 Star,0.0016,0.2643,,,,,,,,,,,,
LCD 1 Star,0.0042,0.2931,,,,,,,,,,,,
CRT No Star,0.0041,0.1488,,,,,,,,,,,,
LCD No Star,0.0055,0.3812,,,,,,,,,,,,
Bulbs,,,,,,,,,,,,,,
Type of Bulb,Capital cost Rs/Watt,,,,,,,,,,,,,
Incandescent,0.278,,,,,,,,,,,,,
CFL,10.885,,,,,,,,,,,,,
TFL,3.815,,,,,,,,,,,,,
LED,297.57,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
